Dbase,Accession Number,Name,Taxon,Species,Sex,Maturity,Date Admitted,Date_Admit,AdmitYr,AdmitMo, Rescue Location,Suburb,Jurisdiction,Cause of Affliction, Categories,Anatomical,Aetiological,Updated Anatomical, Updated Aetiological,Status,Status Date,Status Date2,StatusYr,StatusMo,,,,
EzyVet,146651,Buddina,Reptile - Snake - Marine,Spotted sea snake,Female,adult,2025-01-06,6/1/2025,2025,Jan,Buddina,BUDDINA,Sunshine Coast Regional Council,beach stranding,infection/disease,git - Skin/Feathers/Scales,floater,,,died in care,10/01/2025,10/1/2025,2025,Jan,,,,
EzyVet,146485,Harold,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-01-02,2/1/2025,2025,Jan,Point Cartwright Drive,BUDDINA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation,,,euthanised,3/01/2025,3/1/2025,2025,Jan,,,,
EzyVet,145807,-,Reptile - Snake - Marine,Elegant Sea Snake,Male,adult,2024-12-20,20/12/2024,2024,Dec,Teewah Beach Road,NOOSA NORTH SHORE,Noosa Shire Council,boat strike,trauma,musculoskeletal,fracture: spine,,,euthanised,20/12/2024,20/12/2024,2024,Dec,,,,
EzyVet,145848,Sandy,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2024-12-20,20/12/2024,2024,Dec,Prince St,BEACHMERE,Moreton Bay Regional Council,beach stranding,trauma,cns/neurological - musculoskeletal,fracture: spine,,,euthanised,21/12/2024,21/12/2024,2024,Dec,,,,
EzyVet,145567,Eureka,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2024-12-17,17/12/2024,2024,Dec,Seaview Terrace,SUNSHINE BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,cns/neurological - skin/feathers/scales - metabolic/nutritional,floater - emaciation/exhaustion - neurological: other - soft tissue injury,,,euthanised,17/12/2024,17/12/2024,2024,Dec,,,,
EzyVet,144873,Ellie,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2024-12-04,4/12/2024,2024,Dec,Breezeway Street,MOUNT COOLUM,Sunshine Coast Regional Council,overt signs of disease,infection/disease,git - cns/neurological,emaciation/exhaustion - gastro-intestinal: other,,,euthanised,04/12/2024,4/12/2024,2024,Dec,,,,
EzyVet,144816,Donnie,Reptile - Snake - Marine,Dubosis sea snake,Unknown Sex,adult,2024-12-03,3/12/2024,2024,Dec,Castaways Beach,CASTAWAYS BEACH,Sunshine Coast Regional Council,unknown cause of affliction - beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in care,03/12/2024,3/12/2024,2024,Dec,,,,
EzyVet,144731,.,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2024-12-02,2/12/2024,2024,Dec,Cotton Tree,MAROOCHYDORE,Sunshine Coast Regional Council,fishing gear ingestion,trauma,respiratory,respiratory trauma,,,euthanised,02/12/2024,2/12/2024,2024,Dec,,,,
EzyVet,144644,Eddie,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2024-11-30,30/11/2024,2024,Nov,Coolum Beach,COOLUM BEACH,Sunshine Coast Regional Council,beach stranding,Infection/Disease,musculoskeletal - metabolic/nutritional - haematopoletic,anaemia: other - other,,,euthanised,30/11/2024,30/11/2024,2024,Nov,,,,
EzyVet,142551,.,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2024-11-12,12/11/2024,2024,Nov,Mooloolaba,MOOLOOLABA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,euthanised,12/11/2024,12/11/2024,2024,Nov,,,,
